State,County,County_FIPS_Code,PM2.5_2015,PM2.5_2020
Alabama,Baldwin County,01003,18,17
Alabama,Clay County,01027,25,14
Alabama,DeKalb County,01049,19,17
Alabama,Etowah County,01055,18,23
Alabama,Jefferson County,01073,24,25
Alabama,Madison County,01089,17,17
Alabama,Mobile County,01097,19,16
Alabama,Montgomery County,01101,19,24
Alabama,Morgan County,01103,17,16
Alabama,Russell County,01113,17,19
Alabama,Tuscaloosa County,01125,17,17
Alaska,Anchorage Municipality,02020,18,22
Alaska,Fairbanks North Star Borough,02090,112,71
Alaska,Juneau City and Borough,02110,21,17
Alaska,Matanuska-Susitna Borough,02170,38,24
Arizona,Maricopa County,04013,28,37
Arizona,Pima County,04019,10,14
Arizona,Pinal County,04021,17,41
Arizona,Santa Cruz County,04023,27,32
Arkansas,Arkansas County,05001,20,17
Arkansas,Ashley County,05003,17,18
Arkansas,Crittenden County,05035,18,17
Arkansas,Garland County,05051,19,19
Arkansas,Jackson County,05067,18,22
Arkansas,Polk County,05113,18,21
Arkansas,Pulaski County,05119,21,24
Arkansas,Union County,05139,20,22
Arkansas,Washington County,05143,17,16
California,Alameda County,06001,30,65
California,Butte County,06007,30,92
California,Calaveras County,06009,23,97
California,Colusa County,06011,24,104
California,Contra Costa County,06013,30,66
California,Fresno County,06019,52,124
California,Imperial County,06025,35,34
California,Inyo County,06027,24,308
California,Kern County,06029,57,81
California,Kings County,06031,99,87
California,Lake County,06033,7,85
California,Los Angeles County,06037,42,53
California,Madera County,06039,44,88
California,Marin County,06041,31,41
California,Mendocino County,06045,24,62
California,Merced County,06047,40,78
California,Monterey County,06053,13,64
California,Napa County,06055,30,57
California,Nevada County,06057,11,90
California,Orange County,06059,15,42
California,Placer County,06061,20,93
California,Plumas County,06063,50,109
California,Riverside County,06065,43,40
California,Sacramento County,06067,38,85
California,San Benito County,06069,11,59
California,San Bernardino County,06071,40,43
California,San Diego County,06073,20,75
California,San Francisco County,06075,27,40
California,San Joaquin County,06077,43,92
California,San Luis Obispo County,06079,24,63
California,San Mateo County,06081,22,46
California,Santa Barbara County,06083,19,37
California,Santa Clara County,06085,28,56
California,Santa Cruz County,06087,20,88
California,Shasta County,06089,20,66
California,Siskiyou County,06093,37,85
California,Solano County,06095,31,52
California,Sonoma County,06097,23,34
California,Stanislaus County,06099,47,87
California,Sutter County,06101,31,91
California,Tulare County,06107,46,83
California,Ventura County,06111,22,32
California,Yolo County,06113,21,134
