Year	Tropical storms	Hurricanes	Major Hurricanes
1850	0	3	0
1851	6	3	1
1852	5	5	1
1853	8	4	2
1854	5	3	1
1855	5	4	1
1856	6	4	2
1857	4	3	0
1858	6	6	0
1859	8	7	1
1860	7	6	1
1861	2	6	0
1862	3	3	0
1863	4	5	0
1864	2	3	0
1865	4	3	0
1866	7	6	1
1867	2	6	0
1868	1	3	0
1869	3	6	1
1870	11	10	2
1871	8	6	2
1872	5	4	0
1873	5	3	2
1874	7	4	0
1875	6	5	1
1876	5	4	2
1877	8	3	1
1878	12	10	1
1879	8	6	2
1880	11	9	2
1881	7	4	0
1882	6	5	2
1883	4	3	2
1884	4	4	1
1885	8	6	1
1886	12	10	4
1887	19	11	2
1888	9	6	2
1889	9	6	0
1890	4	2	1
1891	10	7	1
1892	9	5	0
1893	12	10	5
1894	7	5	4
1895	6	2	0
1896	7	6	2
1897	6	3	0
1898	11	5	1
1899	9	5	2
1900	7	3	2
1901	12	5	1
1902	5	3	0
1903	10	7	1
1904	5	3	0
1905	5	1	1
1906	11	6	3
1907	5	0	0
1908	10	6	1
1909	11	6	4
1910	5	3	1
1911	6	3	0
1912	7	4	1
1913	6	4	0
1914	1	0	0
1915	6	5	4
1916	15	10	5
1917	4	2	2
1918	6	4	1
1919	5	2	1
1920	5	4	0
1921	7	5	2
1922	5	3	1
1923	9	4	1
1924	11	5	2
1925	4	2	0
1926	11	8	6
1927	8	4	1
1928	6	4	1
1929	5	3	1
1930	3	2	2
1931	13	3	1
1932	15	6	4
1933	20	11	6
1934	13	7	1
1935	8	5	3
1936	17	7	1
1937	11	4	1
1938	9	4	2
1939	6	3	1
1940	9	6	0
1941	6	4	3
1942	11	4	1
1943	10	5	2
1944	14	8	3
1945	11	5	2
1946	7	3	0
1947	10	5	2
1948	10	6	4
1949	16	7	3
1950	16	11	6
1951	12	8	3
1952	11	5	2
1953	14	7	3
1954	16	7	3
1955	13	9	4
1956	12	4	1
1957	8	3	2
1958	12	7	3
1959	14	7	2
1960	8	4	2
1961	11	8	7
1962	5	3	1
1963	9	7	2
1964	12	6	6
1965	6	4	1
1966	11	7	3
1967	8	6	1
1968	8	4	0
1969	18	12	5
1970	10	5	2
1971	13	6	1
1972	7	3	0
1973	8	4	1
1974	11	4	2
1975	9	6	3
1976	10	6	2
1977	6	5	1
1978	12	5	2
1979	9	5	2
1980	15	11	9
1981	18	12	7
1982	9	6	2
1983	7	4	3
1984	17	13	5
1985	13	11	7
1986	10	6	4
1987	14	7	3
1988	19	12	5
1989	15	11	7
1990	16	14	8
1991	12	8	4
1992	9	7	4
1993	10	8	4
1994	12	7	3
1995	21	19	11
1996	13	13	9
1997	9	8	3
1998	14	14	10
1999	16	12	8
2000	19	15	8
2001	17	15	9
2002	14	12	4
2003	21	16	7
2004	17	15	9
2005	31	28	15
2006	10	10	5
2007	17	15	6
2008	17	16	8
2009	11	9	3
2010	21	19	12
2011	20	19	7
2012	19	19	10
2013	15	14	2
2014	9	8	6
2015	12	11	4
2016	16	15	7
2017	14	13	6
