age,race,pres00,provider
"[18,36]",black or african american,gore,Verizon
"(36,53]",white,bush,AT&T
"(36,53]",white,bush,Verizon
"(36,53]",white,bush,AT&T
"(36,53]",white,bush,Comcast
"(53,89]",white,bush,Comcast
"(53,89]",white,bush,Sprint
"(53,89]",asian or pacific islander,bush,Sprint
"(36,53]",white,bush,Comcast
"(53,89]",white,gore,AT&T
"(53,89]",hispanic,gore,Comcast
"(53,89]",white,bush,AT&T
"(36,53]",white,gore,Sprint
"[18,36]",black or african american,gore,Verizon
"[18,36]",white,bush,Time Warner
"(53,89]",white,bush,Verizon
"(36,53]",white,bush,AT&T
"[18,36]",white,bush,Comcast
"[18,36]",white,bush,Comcast
"[18,36]",white,bush,Time Warner
"(53,89]",hispanic,gore,Sprint
"[18,36]",white,bush,Comcast
"(36,53]",white,bush,AT&T
"[18,36]",white,bush,Time Warner
"(53,89]",white,gore,Verizon
"[18,36]",white,bush,Comcast
"[18,36]",white,bush,Time Warner
"(36,53]",white,bush,Time Warner
"(36,53]",white,bush,Verizon
"(53,89]",white,bush,AT&T
"[18,36]",white,bush,Verizon
"[18,36]",white,bush,Comcast
"[18,36]",white,bush,AT&T
"(36,53]",asian or pacific islander,gore,Time Warner
"(53,89]",white,gore,Time Warner
"[18,36]",asian or pacific islander,bush,AT&T
"(36,53]",black or african american,gore,AT&T
"(53,89]",white,gore,Verizon
"[18,36]",white,bush,Comcast
"(36,53]",white,bush,Verizon
"(36,53]",white,bush,Sprint
"[18,36]",white,bush,Verizon
"(53,89]",black or african american,gore,Verizon
"[18,36]",hispanic,gore,Verizon
"(36,53]",white,gore,AT&T
"(53,89]",white,bush,Verizon
"(53,89]",black or african american,gore,Comcast
"(53,89]",white,gore,Time Warner
"(53,89]",white,gore,Sprint
"(36,53]",white,bush,AT&T
"(53,89]",white,gore,Comcast
"(53,89]",white,gore,Time Warner
"(36,53]",white,bush,AT&T
"(53,89]",white,bush,AT&T
"(53,89]",white,gore,Comcast
"(36,53]",white,bush,Time Warner
"[18,36]",white,bush,Verizon
"(53,89]",white,bush,Verizon
"(53,89]",white,gore,AT&T
"(53,89]",white,gore,Time Warner
"[18,36]",white,bush,Verizon
"(36,53]",white,bush,Verizon
"(36,53]",white,gore,Time Warner
"(53,89]",white,gore,Comcast
"(36,53]",white,bush,Sprint
"(53,89]",white,gore,AT&T
"(36,53]",white,bush,Time Warner
"[18,36]",white,bush,Verizon
"(36,53]",black or african american,gore,Sprint
"(36,53]",white,bush,Comcast
"(53,89]",white,gore,Time Warner
"[18,36]",white,bush,Comcast
"(53,89]",white,gore,Time Warner
"[18,36]",white,gore,Sprint
"(53,89]",white,gore,Time Warner
"(36,53]",white,gore,Sprint
"[18,36]",white,bush,Comcast
"(36,53]",white,gore,Verizon
"(36,53]",white,bush,Sprint
"(36,53]",white,gore,Time Warner
"(36,53]",white,bush,Time Warner
"[18,36]",white,gore,Verizon
"(53,89]",white,bush,Sprint
"(53,89]",white,gore,Verizon
"(53,89]",white,bush,Sprint
"(36,53]",white,bush,AT&T
"(53,89]",white,gore,Comcast
"(53,89]",white,gore,Sprint
"[18,36]",white,bush,Comcast
"(36,53]",white,gore,Sprint
"(36,53]",white,bush,Time Warner
"(53,89]",white,gore,Time Warner
"(53,89]",white,bush,Comcast
"(36,53]",asian or pacific islander,bush,AT&T
"(36,53]",black or african american,gore,Comcast
"(36,53]",white,gore,Comcast
"[18,36]",black or african american,gore,Verizon
"(36,53]",white,gore,Verizon
"[18,36]",white,gore,AT&T
"(53,89]",white,bush,Time Warner
"[18,36]",white,bush,Time Warner
"[18,36]",white,bush,AT&T
"(36,53]",white,bush,Time Warner
"[18,36]",white,gore,AT&T
"[18,36]",black or african american,gore,AT&T
"(36,53]",white,gore,Verizon
"(36,53]",white,bush,Comcast
"[18,36]",black or african american,gore,Sprint
"[18,36]",black or african american,gore,Verizon
"[18,36]",white,nader,Sprint
"(53,89]",white,gore,Time Warner
"(36,53]",black or african american,gore,Sprint
"(53,89]",white,bush,Verizon
"(53,89]",white,gore,Comcast
"(53,89]",white,bush,Verizon
"(36,53]",white,gore,Verizon
"(53,89]",white,gore,Verizon
"(53,89]",white,bush,AT&T
"(36,53]",white,gore,Comcast
"(53,89]",white,bush,AT&T
"(53,89]",white,bush,AT&T
"(53,89]",white,bush,Verizon
"[18,36]",white,bush,Verizon
"(36,53]",white,bush,Comcast
"(36,53]",black or african american,bush,AT&T
"(36,53]",white,bush,Comcast
"(53,89]",white,gore,AT&T
"[18,36]",white,gore,AT&T
"(53,89]",white,bush,Comcast
"(53,89]",white,gore,Sprint
"(53,89]",white,bush,Verizon
"[18,36]",white,bush,AT&T
"(36,53]",black or african american,gore,AT&T
"[18,36]",white,gore,Sprint
"[18,36]",black or african american,gore,Verizon
"(36,53]",white,bush,Time Warner
"(36,53]",white,gore,Time Warner
"(53,89]",white,bush,Comcast
"[18,36]",white,bush,AT&T
"(53,89]",white,gore,Time Warner
"(53,89]",white,bush,Comcast
"(53,89]",white,bush,AT&T
"(36,53]",white,gore,Verizon
"(53,89]",white,gore,Sprint
"[18,36]",white,bush,Sprint
"(53,89]",white,bush,Verizon
"(53,89]",white,gore,Comcast
"(36,53]",white,bush,Verizon
"(53,89]",white,gore,AT&T
"(36,53]",white,bush,Sprint
"[18,36]",white,bush,AT&T
"(53,89]",white,bush,Sprint
"[18,36]",white,bush,Comcast
"(36,53]",white,bush,AT&T
"(36,53]",white,bush,Comcast
"(53,89]",white,bush,Time Warner
"(53,89]",white,bush,Time Warner
"[18,36]",white,bush,AT&T
"[18,36]",white,bush,Sprint
"(53,89]",black or african american,gore,Comcast
"[18,36]",white,bush,Verizon
"(53,89]",white,gore,AT&T
"[18,36]",white,nader,Verizon
"(53,89]",white,gore,Comcast
"[18,36]",black or african american,gore,AT&T
"[18,36]",black or african american,gore,Verizon
"(36,53]",white,bush,Verizon
"(36,53]",white,bush,Time Warner
"(53,89]",white,gore,Comcast
"(36,53]",white,bush,Sprint
"(53,89]",white,bush,AT&T
"(36,53]",white,bush,AT&T
"(53,89]",white,nader,Verizon
"(36,53]",white,bush,Time Warner
"[18,36]",white,gore,Comcast
"[18,36]",white,bush,Verizon
